Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss
1,0.5959869387617082,1.9689648379966365,0.46037376599417906,0.4757761112019672
1,0.5929373486542407,1.9689648379966365,0.46037376599417906,0.4757761112019672
2,0.5397784051611836,1.834742736892175,0.4900412231178607,0.4897623535371938
2,0.5358456733969994,1.834742736892175,0.4900412231178607,0.4897623535371938
3,0.48497711846857894,1.8622657050520688,0.5552795844594554,0.516236053495589
3,0.48400281113055016,1.8622657050520688,0.5552795844594554,0.516236053495589
4,0.4424719895477648,2.0752614458738745,0.5713609255203125,0.5279584103974245
4,0.43950373989380437,2.0752614458738745,0.5713609255203125,0.5279584103974245
5,0.4109925024303389,1.8885041696287819,0.6172818070893191,0.5423463651500011
5,0.41285590703288716,1.8885041696287819,0.6172818070893191,0.5423463651500011
6,0.3935566067971565,2.0496820447556043,0.5969377870718806,0.5356431338557247
6,0.39424496330780745,2.0496820447556043,0.5969377870718806,0.5356431338557247
7,0.38314073153851946,2.0594116669085065,0.5977843451724087,0.5346931592892792
7,0.3841255170327646,2.0594116669085065,0.5977843451724087,0.5346931592892792
8,0.38012584741284816,2.0603620359453103,0.5928067888638352,0.5323673572264991
8,0.37783960617250867,2.0603620359453103,0.5928067888638352,0.5323673572264991
9,0.3745335807494911,2.003640367823132,0.6011643141460747,0.5377706250459966
9,0.37769178361804395,2.003640367823132,0.6011643141460747,0.5377706250459966
10,0.375060322549608,2.0151081217800155,0.6012845485060776,0.5367626131717431
10,0.37454426489126535,2.0151081217800155,0.6012845485060776,0.5367626131717431
11,0.3739789923767985,2.0080886534967664,0.6056106924079359,0.5382522349956177
11,0.3738508598488054,2.0080886534967664,0.6056106924079359,0.5382522349956177
12,0.37174200965666476,2.00743497491388,0.603474196622748,0.5372861329844948
12,0.37602013880271973,2.00743497491388,0.603474196622748,0.5372861329844948
